2023-01-12;12;1;
2023-01-19;12;1;
2023-01-26;2;1;
2023-02-09;12;1;
2023-02-16;11;1;
2023-02-23;2;1;
2023-03-09;12;1;
2023-03-16;1;1;
2023-03-30;2;1;
2023-04-20;12;1;
2023-04-27;2;1;
2023-05-04;11;1;
2023-05-25;1;1;
2023-06-15;1;1;
2023-06-22;2;1;
2023-06-29;11;1;
2023-07-13;12;1;
2023-07-20;2;1;
2023-07-27;12;1;
2023-09-14;2;1;
2023-09-21;11;1;
2023-09-28;0;2;1
2023-10-12;1;2;
2023-10-19;2;2;
2023-10-26;11;1;
2023-11-09;13;1;
2023-11-16;2;1;
2023-11-23;1;1;
2023-12-07;13;1;
2023-12-14;2;1;
2023-12-21;11;1;
